Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN RUŠEC                                       ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: ŠIMO MARKSER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ŽELJKO PECEK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MIROSLAV RAJH                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                                        ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ERIKA ÈILOG;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVAN VEKIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: ANTUN LASLO                                 ;NEOVISNA LISTA, Nositelj liste: BORIS MIKŠIÆ                                 ;SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, Nositelj liste: DAMIR JURIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ                                 ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: ZDRAVKO PEKO                                 
BOSNA I HERCEGOVINA;91;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;92;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;93;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;94;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;95;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;96;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BOSNA I HERCEGOVINA;97;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;98;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;99;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;101;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;102;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;104;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;105;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;106;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;108;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;109;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;110;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;111;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;113;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;114;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;115;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;116;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;117;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;119;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;120;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;121;;56;56;56;0;0;0;0;1;0;0;0;45;0;2;0;0;4;0;0;0;0;0;0;0;1;3;0
BOSNA I HERCEGOVINA;122;;41;41;41;0;0;0;0;0;0;0;0;36;0;2;0;0;1;0;1;0;0;0;0;0;0;1;0
BOSNA I HERCEGOVINA;123;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSNA I HERCEGOVINA;124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRAZIL;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRAZIL;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUGARSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRNA GORA;1;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRNA GORA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRNA GORA;3;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRNA GORA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÈEŠKA REPUBLIKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÈILE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÈILE;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÈILE;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DANSKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
EGIPAT;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FINSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FRANCUSKA;1;;16;16;16;0;0;0;0;1;0;0;0;3;0;4;0;0;4;0;3;0;0;0;0;0;0;1;0
FRANCUSKA;2;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FRANCUSKA;3;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRÈKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INDIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INDONEZIJA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
IRAN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITALIJA;1;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ITALIJA;2;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITALIJA;3;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
IZRAEL;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JAPAN;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
JUŽNOAFRIÈKA REPUBLIKA;1;;4;4;4;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
KANADA;1;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
KANADA;2;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KANADA;3;;5;5;5;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
KANADA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KANADA;5;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KANADA;6;;15;15;15;0;0;0;0;0;0;0;0;9;0;0;0;1;1;0;2;0;0;0;0;0;0;2;0
KANADA;7;;13;13;13;0;0;0;0;0;0;1;0;8;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0
KANADA;8;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KANADA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KINA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIBIJSKA ARAP. DŽAM.;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAÐARSKA;1;;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5;0
MAÐARSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAKEDONIJA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MALEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAROKO;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NIZOZEMSKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
NORVEŠKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVI ZELAND;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NJEMAÈKA;1;;14;14;14;0;0;0;0;0;0;0;0;7;0;0;2;0;0;1;1;0;0;0;0;0;0;3;0
NJEMAÈKA;2;;6;6;6;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0
NJEMAÈKA;3;;17;17;17;0;0;0;0;1;0;0;0;9;0;0;0;1;2;0;0;0;0;0;0;0;0;3;1
NJEMAÈKA;4;;22;22;22;0;0;0;0;1;0;0;0;19;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
NJEMAÈKA;5;;15;15;15;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;4;0;3;0;0;0;0;1;0
NJEMAÈKA;6;;16;16;16;0;0;0;0;0;0;0;0;9;0;0;0;0;2;0;3;0;0;0;0;1;0;1;0
NJEMAÈKA;7;;21;21;21;0;0;0;1;0;0;0;0;15;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0
NJEMAÈKA;8;;18;18;18;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0
NJEMAÈKA;9;;25;25;25;0;0;0;0;1;0;0;0;19;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0
NJEMAÈKA;10;;42;42;42;0;0;1;0;0;0;0;0;30;0;1;1;0;3;0;2;0;0;0;0;0;0;4;0
NJEMAÈKA;11;;27;27;27;0;0;0;0;0;0;0;0;18;1;0;0;0;4;0;2;0;0;0;0;0;0;2;0
NJEMAÈKA;12;;35;35;35;0;0;0;0;0;0;0;0;26;1;2;1;0;1;0;2;0;0;0;0;2;0;0;0
NJEMAÈKA;13;;38;37;37;0;0;0;0;0;1;1;0;22;1;0;1;0;8;0;1;0;0;0;0;0;0;2;0
NJEMAÈKA;14;;70;70;70;0;0;0;0;2;0;0;0;40;0;1;1;1;8;0;8;0;0;0;0;2;0;7;0
NJEMAÈKA;15;;38;37;37;0;0;0;0;2;0;0;1;25;0;2;0;0;1;0;3;0;0;0;0;0;0;3;0
NJEMAÈKA;16;;45;45;44;1;0;0;0;0;0;0;0;26;0;0;1;0;6;1;7;0;0;0;0;0;1;2;0
NJEMAÈKA;17;;43;43;43;0;0;0;0;0;0;0;0;21;0;2;5;0;4;2;4;0;0;0;0;0;0;5;0
NJEMAÈKA;18;;20;20;20;0;0;0;0;1;0;0;0;10;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0
NJEMAÈKA;19;;22;22;22;0;0;0;0;0;0;0;0;16;0;0;0;0;3;0;1;0;0;0;0;0;0;2;0
NJEMAÈKA;20;;14;14;14;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;2;0;0;0;0;0;0;4;0
NJEMAÈKA;21;;14;14;14;0;1;0;0;0;0;0;0;10;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
NJEMAÈKA;22;;6;6;6;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
NJEMAÈKA;23;;13;13;12;1;0;0;0;0;0;0;0;5;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0
PERU;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POLJSKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
PORTUGAL;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUMUNJSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUMUNJSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUSKA FEDERACIJA;1;;2;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;2;;6;6;5;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;3;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;4;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAD;6;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SLOVAÈKA REPUBLIKA;1;;4;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
SLOVENIJA;1;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0
SRBIJA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
SRBIJA;2;;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0
SRBIJA;3;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRBIJA;4;;5;5;5;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0
SRBIJA;5;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRBIJA;6;;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SRBIJA;7;;6;6;6;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRBIJA;8;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
SRBIJA;9;;3;3;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRBIJA;10;;3;3;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRBIJA;11;;9;9;8;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4;0
SRBIJA;12;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRBIJA;13;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
SRBIJA;14;;9;9;9;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
SRBIJA;15;;4;4;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
ŠPANJOLSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ŠPANJOLSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ŠVEDSKA;1;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ŠVEDSKA;2;;11;11;11;0;0;0;0;0;0;1;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
ŠVEDSKA;3;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ŠVICARSKA;1;;12;12;12;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ŠVICARSKA;2;;8;8;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ŠVICARSKA;3;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ŠVICARSKA;4;;23;23;23;0;0;0;0;0;0;0;0;12;0;1;1;0;2;0;1;0;0;0;0;0;0;6;0
ŠVICARSKA;5;;20;20;20;0;0;0;0;0;0;0;0;15;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0
TURSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TURSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UKRAJINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VELIKA BRITANIJA;1;;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1
VENECUELA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UKUPNO INOZEMSTVO ZA IV. IJ.;;;1224;1222;1212;10;3;2;1;14;2;4;1;795;5;27;22;8;114;5;69;1;7;5;0;8;3;110;6
