Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MILAN ŽUPANÈIÆ, prof.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS, Nositelj liste: MLADEN KEŠER;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: SEBASTIJAN PALIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: dr.sc. MARKO VESELICA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: JOSIP FRIŠÈIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: VLADIMIR SEVER                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: DRAŽEN KELEMINEC;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILAN KOVAÈ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: BRANKO STOJKOVIÆ                                ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŠUNIÆ;ZELENA LISTA, Nositelj liste: DARKO STOŠIÆ                                                         ;;;
BOSNA I HERCEGOVINA;62;;8;8;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;63;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;64;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;65;;11;11;11;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;66;;8;8;8;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;67;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;68;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;69;;4;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;
BOSNA I HERCEGOVINA;70;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;71;;8;8;7;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;;;
BOSNA I HERCEGOVINA;72;;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;73;;7;7;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;74;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;75;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;76;;4;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;77;;6;6;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;78;;7;7;7;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;79;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;80;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;81;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;82;;12;12;12;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;83;;24;24;24;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;84;;27;27;27;0;0;0;0;0;0;0;2;0;23;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;85;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;86;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;87;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;88;;12;12;12;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;;;
BOSNA I HERCEGOVINA;89;;11;11;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;90;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;91;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;92;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;93;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;;
BOSNA I HERCEGOVINA;94;;13;13;13;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;95;;15;15;15;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;96;;8;8;8;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;97;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;98;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;99;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;101;;4;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;102;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;104;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;105;;6;5;5;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;106;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;108;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;109;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;110;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;111;;6;6;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;;;
BOSNA I HERCEGOVINA;112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;113;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;114;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;115;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;116;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;117;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;118;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;119;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;120;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;121;;11;11;10;1;0;0;0;0;0;0;0;0;7;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;122;;8;8;8;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;123;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;124;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BRAZIL;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BRAZIL;2;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BUGARSKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;2;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CRNA GORA;4;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈEŠKA REPUBLIKA;1;;5;5;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;
ÈILE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈILE;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÈILE;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DANSKA;1;;8;8;8;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;;;
EGIPAT;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
FINSKA;1;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
FRANCUSKA;1;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;
FRANCUSKA;2;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
FRANCUSKA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GRÈKA;1;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
INDIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
INDONEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IRAN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IRSKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;;;
ITALIJA;1;;8;8;8;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
ITALIJA;2;;6;6;6;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
ITALIJA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IZRAEL;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;
JAPAN;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
JUŽNOAFRIÈKA REPUBLIKA;1;;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;3;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;4;;6;6;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;5;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;6;;22;22;22;0;0;0;0;0;1;0;0;0;14;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;;;
KANADA;7;;8;8;6;2;0;1;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
KANADA;8;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
KANADA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KINA;1;;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
LIBIJSKA ARAP. DŽAM.;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAÐARSKA;1;;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
MAÐARSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAKEDONIJA;1;;6;6;6;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;;;
MALEZIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
MAROKO;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NIZOZEMSKA;1;;8;8;8;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;;;
NORVEŠKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NOVI ZELAND;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NJEMAÈKA;1;;27;27;26;1;0;0;0;0;0;0;0;0;17;0;0;1;1;0;4;0;0;0;0;1;0;2;0;0;;;
NJEMAÈKA;2;;18;18;17;1;0;0;0;0;0;0;0;0;13;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;;;
NJEMAÈKA;3;;34;34;34;0;0;0;0;0;0;0;0;0;23;0;0;3;0;0;5;0;0;0;1;0;0;2;0;0;;;
NJEMAÈKA;4;;35;35;35;0;0;0;0;0;0;0;0;0;32;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;
NJEMAÈKA;5;;6;6;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;
NJEMAÈKA;6;;29;29;29;0;0;0;0;0;1;0;0;0;25;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;;;
NJEMAÈKA;7;;17;17;17;0;0;0;0;0;0;0;0;0;15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
NJEMAÈKA;8;;39;39;39;0;0;1;0;0;1;0;0;0;30;0;0;0;0;0;4;0;0;0;0;0;0;2;1;0;;;
NJEMAÈKA;9;;26;26;26;0;0;0;0;0;0;0;0;1;20;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;;;
NJEMAÈKA;10;;69;69;69;0;0;1;0;1;0;0;0;0;57;0;2;0;2;0;3;0;0;1;0;0;0;2;0;0;;;
NJEMAÈKA;11;;102;102;101;1;1;0;0;1;0;1;1;0;70;0;0;1;0;0;8;0;0;1;9;0;1;6;1;0;;;
NJEMAÈKA;12;;75;74;74;0;0;0;0;0;0;0;0;2;59;0;1;0;8;0;0;0;0;0;2;0;0;1;0;1;;;
NJEMAÈKA;13;;97;97;97;0;0;0;0;0;0;0;0;0;89;0;1;0;0;0;3;0;0;0;0;0;0;4;0;0;;;
NJEMAÈKA;14;;52;51;50;1;0;0;0;0;0;0;0;0;35;0;0;0;4;0;3;0;1;0;0;0;0;7;0;0;;;
NJEMAÈKA;15;;40;40;40;0;0;0;0;0;0;0;0;0;30;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;;;
NJEMAÈKA;16;;63;63;63;0;0;0;0;0;0;0;0;1;53;0;1;0;1;0;4;0;0;0;0;0;0;3;0;0;;;
NJEMAÈKA;17;;68;68;68;0;0;0;0;0;0;0;0;0;55;0;0;0;6;0;5;0;0;0;0;0;0;2;0;0;;;
NJEMAÈKA;18;;66;66;64;2;0;0;0;0;0;0;0;0;54;1;0;0;1;1;0;1;0;0;0;0;0;6;0;0;;;
NJEMAÈKA;19;;59;59;59;0;0;0;0;0;0;0;0;0;45;0;0;0;2;0;7;0;0;0;0;0;0;4;0;1;;;
NJEMAÈKA;20;;42;42;42;0;2;0;0;0;0;0;0;0;32;0;0;0;0;0;3;0;0;0;0;0;1;4;0;0;;;
NJEMAÈKA;21;;26;26;26;0;0;0;0;0;0;0;0;0;18;0;0;1;0;0;3;0;0;0;1;0;0;3;0;0;;;
NJEMAÈKA;22;;20;20;20;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;;;
NJEMAÈKA;23;;17;17;17;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;;
PERU;1;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
POLJSKA;1;;5;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;;;
PORTUGAL;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
RUMUNJSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RUMUNJSKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RUSKA FEDERACIJA;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SAD;1;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;2;;7;7;7;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;;;
SAD;3;;7;7;7;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SAD;4;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
SAD;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAD;6;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SLOVAÈKA REPUBLIKA;1;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SLOVENIJA;1;;4;4;3;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SRBIJA;2;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SRBIJA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;5;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;6;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SRBIJA;7;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;8;;9;9;9;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SRBIJA;9;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SRBIJA;10;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SRBIJA;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;12;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;13;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SRBIJA;14;;4;4;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
SRBIJA;15;;3;3;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
ŠPANJOLSKA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
ŠPANJOLSKA;2;;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
ŠVEDSKA;1;;10;10;10;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;1;0;0;0;0;0;0;1;0;0;;;
ŠVEDSKA;2;;3;3;3;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ŠVEDSKA;3;;5;5;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
ŠVICARSKA;1;;42;42;42;0;0;0;1;0;0;0;0;0;31;0;0;0;4;0;4;0;0;0;1;0;0;1;0;0;;;
